TIA	LATI	Tirana International Airport Mother Teresa	large_airport	SRID=4326;POINT(19.7206 41.4147)	Europe	Albania	AL	Durrës County	AL-02	Rinas	http://www.tirana-airport.com/	https://en.wikipedia.org/wiki/Tirana_International_Airport_N%C3%ABn%C3%AB_Tereza
ALG	DAAG	Houari Boumediene Airport	large_airport	SRID=4326;POINT(3.214531 36.693886)	Africa	Algeria	DZ	Algiers Province	DZ-16	Algiers		https://en.wikipedia.org/wiki/Houari_Boumediene_Airport
LAD	FNLU	Quatro de Fevereiro International Airport	large_airport	SRID=4326;POINT(13.2312 -8.85837)	Africa	Angola	AO	Luanda Province	AO-LUA	Luanda		https://en.wikipedia.org/wiki/Quatro_de_Fevereiro_Airport
EZE	SAEZ	Minister Pistarini International Airport	large_airport	SRID=4326;POINT(-58.5358 -34.8222)	South America	Argentina	AR	Buenos Aires Province	AR-B	Buenos Aires (Ezeiza)	http://www.aa2000.com.ar/index.php	https://en.wikipedia.org/wiki/Ministro_Pistarini_International_Airport
AEP	SABE	Jorge Newbery Airpark	large_airport	SRID=4326;POINT(-58.4156 -34.5592)	South America	Argentina	AR	Buenos Aires (Autonomous City)	AR-C	Buenos Aires		https://en.wikipedia.org/wiki/Aeroparque_Jorge_Newbery
EVN	UDYZ	Zvartnots International Airport	large_airport	SRID=4326;POINT(44.3959007263 40.1473007202)	Asia	Armenia	AM	Yerevan (capital district)	AM-ER	Yerevan	http://www.aia-zvartnots.aero/	https://en.wikipedia.org/wiki/Zvartnots_International_Airport
AUA	TNCA	Queen Beatrix International Airport	large_airport	SRID=4326;POINT(-70.015198 12.5014)	North America	Aruba	AW	(unassigned)	AW-U-A	Oranjestad		https://en.wikipedia.org/wiki/Queen_Beatrix_International_Airport
SYD	YSSY	Sydney Kingsford Smith International Airport	large_airport	SRID=4326;POINT(151.177002 -33.946098)	Oceania	Australia	AU	New South Wales	AU-NSW	Sydney (Mascot)	http://www.sydneyairport.com.au/	https://en.wikipedia.org/wiki/Sydney_Airport
MEL	YMML	Melbourne Airport	large_airport	SRID=4326;POINT(144.836432 -37.661548)	Oceania	Australia	AU	Victoria	AU-VIC	Melbourne	http://melbourneairport.com.au/	https://en.wikipedia.org/wiki/Melbourne_Airport
BNE	YBBN	Brisbane International Airport	large_airport	SRID=4326;POINT(153.1170043945 -27.3841991425)	Oceania	Australia	AU	Queensland	AU-QLD	Brisbane		https://en.wikipedia.org/wiki/Brisbane_Airport
PER	YPPH	Perth International Airport	large_airport	SRID=4326;POINT(115.9670028687 -31.9402999878)	Oceania	Australia	AU	Western Australia	AU-WA	Perth		https://en.wikipedia.org/wiki/Perth_Airport
ADL	YPAD	Adelaide International Airport	large_airport	SRID=4326;POINT(138.533393 -34.947512)	Oceania	Australia	AU	South Australia	AU-SA	Adelaide		https://en.wikipedia.org/wiki/Adelaide_International_Airport
DRW	YPDN	Darwin International Airport / RAAF Darwin	large_airport	SRID=4326;POINT(130.88185 -12.41497)	Oceania	Australia	AU	Northern Territory	AU-NT	Darwin	https://www.darwinairport.com.au/	https://en.wikipedia.org/wiki/Darwin_International_Airport
VIE	LOWW	Vienna International Airport	large_airport	SRID=4326;POINT(16.5697 48.110298)	Europe	Austria	AT	Vienna	AT-9	Vienna	http://www.viennaairport.com/en/	https://en.wikipedia.org/wiki/Vienna_International_Airport
GYD	UBBB	Heydar Aliyev International Airport	large_airport	SRID=4326;POINT(50.0466995239 40.4674987793)	Asia	Azerbaijan	AZ	Baku (city)	AZ-BA	Baku	http://www.airport-baku.com/	https://en.wikipedia.org/wiki/Heydar_Aliyev_International_Airport
NAS	MYNN	Lynden Pindling International Airport	large_airport	SRID=4326;POINT(-77.466202 25.039)	North America	Bahamas	BS	New Providence	BS-NP	Nassau	http://www.nas.bs/	https://en.wikipedia.org/wiki/Lynden_Pindling_International_Airport
BAH	OBBI	Bahrain International Airport	large_airport	SRID=4326;POINT(50.63764 26.267295)	Asia	Bahrain	BH	Muharraq Governorate	BH-15	Manama	https://www.bahrainairport.bh/	https://en.wikipedia.org/wiki/Bahrain_International_Airport
DAC	VGHS	Hazrat Shahjalal International Airport	large_airport	SRID=4326;POINT(90.397783 23.843347)	Asia	Bangladesh	BD	Dhaka Division	BD-3	Dhaka		https://www.linkedin.com/in/md-shamim-islam-109925358/
MSQ	UMMS	Minsk National Airport	large_airport	SRID=4326;POINT(28.039964 53.888071)	Europe	Belarus	BY	Minsk Region	BY-MI	Minsk	http://airport.by/en	https://en.wikipedia.org/wiki/Minsk_National_Airport
BRU	EBBR	Brussels Airport	large_airport	SRID=4326;POINT(4.48444 50.901402)	Europe	Belgium	BE	Flemish Brabant Province	BE-VBR	Zaventem	http://www.brusselsairport.be/en/	https://en.wikipedia.org/wiki/Brussels_Airport
BZE	MZBZ	Philip S. W. Goldson International Airport	large_airport	SRID=4326;POINT(-88.303556 17.539951)	North America	Belize	BZ	Belize District	BZ-BZ	Belize City	http://www.pgiabelize.com/	https://en.wikipedia.org/wiki/Philip_S._W._Goldson_International_Airport
VVI	SLVR	Viru Viru International Airport	large_airport	SRID=4326;POINT(-63.135399 -17.6448)	South America	Bolivia	BO	Santa Cruz Department	BO-S	Santa Cruz		https://en.wikipedia.org/wiki/Viru_Viru_International_Airport
SJJ	LQSA	Sarajevo International Airport	large_airport	SRID=4326;POINT(18.331499 43.8246)	Europe	Bosnia and Herzegovina	BA	Federation of Bosnia and Herzegovina	BA-BIH	Sarajevo	http://www.sarajevo-airport.ba/	https://en.wikipedia.org/wiki/Sarajevo_International_Airport
GBE	FBSK	Sir Seretse Khama International Airport	large_airport	SRID=4326;POINT(25.9182 -24.555201)	Africa	Botswana	BW	Gabarone (city)	BW-GA	Gaborone		https://en.wikipedia.org/wiki/Sir_Seretse_Khama_International_Airport
GRU	SBGR	Guarulhos - Governador André Franco Montoro International Airport	large_airport	SRID=4326;POINT(-46.467778 -23.431944)	South America	Brazil	BR	São Paulo	BR-SP	São Paulo	http://www.aeroportoguarulhos.net/	https://en.wikipedia.org/wiki/S%C3%A3o_Paulo-Guarulhos_International_Airport
GIG	SBGL	Rio Galeão – Tom Jobim International Airport	large_airport	SRID=4326;POINT(-43.250557 -22.809999)	South America	Brazil	BR	Rio de Janeiro	BR-RJ	Rio De Janeiro	https://www.riogaleao.com/passageiros	https://en.wikipedia.org/wiki/Rio_de_Janeiro-Gale%C3%A3o_International_Airport
